TIMESTAMP,RECORD,batt_volt,Tlogger,SWup,SWlo,LWup,LWlo,Tair,RHair,Tsoil,Tsurf,SWC_mV,SWC_vol,Udir,Uspeed,U_Max_QC,x630irr,x800irr,tiltNDVIup,x630rad,x800rad,tiltNDVIlo,x531irr,x570irr,tiltPRIup,x531rad,x570rad,tiltPRIlo,r630,r800,r531,r570,NDVI,PRI,latitude_deg,latitude_min,longitude_deg,longitude_min,speed,course,magnetic,fix_quality,nmbr_satellites,altitude,pps,dt_sincegprmc,gps_ready,max_clock_change,nmbr_clock_change,site,orient,plot
20.04.2018 08:25,21,12.3,23.47,360.43,97.14,257.96,390.85,27.42529,25.54348,21.10025,14.99213,0,-0.071,NAN,0,0,0.4317,0.3888,2,0.0123,0.0511,1,0.5659,0.5191,2,0.0129,0.0118,1,0.02849201,0.13143,0.02279555,0.02273165,0.6436763,0.001403473,47,13.237,11,25.552,0,326.9,2.5,1,8,1028.6,990000,0.35,10,-130,1,1,1,3
20.04.2018 08:25,22,12.31,23.38,364.58,98.49,258.55,390.95,24.13045,24.83017,21.02896,15.01056,0,-0.071,NAN,0,0,0.4504,0.4138,2,0.0125,0.0518,1,0.5811,0.5307,2,0.0136,0.012,1,0.02775311,0.1251812,0.02340389,0.02261164,0.6370585,0.01721693,47,13.237,11,25.552,0,326.9,2.5,1,8,1028.6,990000,0.32,10,-130,1,1,1,3
20.04.2018 08:25,23,12.31,23.32,357.67,95.12,258.33,389.89,21.24322,23.94702,20.94598,14.81503,0,-0.071,NAN,0,0,0.4578,0.4187,2,0.0129,0.052,1,0.5896,0.5349,2,0.013,0.0116,1,0.02817824,0.1241939,0.02204885,0.0216863,0.6301392,0.008289692,47,13.237,11,25.552,0,326.9,2.5,1,8,1028.6,990000,0.32,10,-130,1,1,1,3
20.04.2018 08:25,24,12.31,23.18,524.65,102.05,261.03,393.9,21.27406,23.70803,20.92178,15.55264,0,-0.071,NAN,0,0,0.6002,0.5661,2,0.0164,0.0539,1,0.7788,0.7293,2,0.0153,0.0155,1,0.02732423,0.09521286,0.01964561,0.02125326,0.5540252,-0.03930787,47,13.237,11,25.552,0,326.9,2.5,1,8,1028.6,990000,0.37,10,-130,1,1,2,3
20.04.2018 08:27,25,12.31,23.1,524.35,102.67,259.78,394.53,18.7606,22.82493,20.96915,15.668,0,-0.071,NAN,0,0,0.6202,0.5713,2,0.0165,0.0543,1,0.7921,0.7361,2,0.014,0.0146,1,0.02660432,0.09504638,0.01767454,0.01983426,0.5626112,-0.05757918,47,13.2369,11,25.5518,0,326.9,2.5,1,8,1028.5,990000,0.32,10,57000,2,1,2,3
20.04.2018 08:27,26,12.31,23.04,530.48,103.43,259.67,393.31,16.5868,21.87389,20.93362,15.44446,0,-0.071,NAN,0,0,0.6228,0.5735,2,0.0172,0.0544,1,0.7876,0.7338,2,0.0151,0.0145,1,0.02761721,0.09485615,0.01917217,0.01976015,0.5490086,-0.0151027,47,13.2384,11,25.5525,0,326.9,2.5,1,8,1027,990000,0.32,10,57000,2,1,2,3
20.04.2018 08:29,27,12.32,22.33,273.27,81.65,260.66,392.44,40.18831,32.0957,19.98361,15.28473,0,-0.071,NAN,0,0,0.3474,0.3085,2,0.021,0.03,1,0.4643,0.4141,2,0.0187,0.0211,1,0.06044905,0.09724473,0.04027568,0.05095388,0.2333363,-0.1170475,47,13.2382,11,25.5565,0,129.5,2.5,1,8,1027.8,990000,0.43,10,57000,2,1,1,2
20.04.2018 08:29,28,12.32,22.22,286.59,79.54,261.22,392.05,33.70124,30.46544,20.07651,15.21304,0,-0.071,NAN,0,0,0.3669,0.3341,2,0.0211,0.0308,1,0.4903,0.4386,2,0.0183,0.0199,1,0.05750886,0.09218796,0.03732409,0.04537164,0.2316623,-0.09731515,47,13.2382,11,25.5564,0,129.5,2.5,1,8,1027.8,990000,0.33,10,57000,2,1,1,2
20.04.2018 08:29,29,12.32,22.14,278.97,81.21,259.51,390.33,28.64065,29.03897,20.13467,14.89624,0,-0.071,NAN,0,0,0.3525,0.318,2,0.0217,0.0313,1,0.48,0.424,2,0.0181,0.0197,1,0.06156029,0.09842768,0.03770833,0.04646226,0.2304385,-0.1040022,47,13.2382,11,25.5565,0,129.5,2.5,1,8,1027.8,990000,0.31,10,57000,2,1,1,2
20.04.2018 08:29,30,12.32,21.92,544.6,91.31,260.77,397.05,30.30487,30.73715,19.80994,16.12808,0,-0.071,NAN,0,0,0.6143,0.5623,2,0.0241,0.0363,1,0.8109,0.7593,2,0.021,0.0231,1,0.03923165,0.06455629,0.02589715,0.03042276,0.2440037,-0.08035534,47,13.2382,11,25.5565,0,129.5,2.5,1,8,1027.7,990000,0.44,10,57000,2,1,2,2
